Publication Date,Fiscal Year,Agency Number,Agency Name,Unit Appropriation Number,Unit Appropriation Name,Personal Service/Other Than Personal Service Indicator,Total Financial Plan Amount,Total Adopted Budget Amount,Total Current Budget Amount,Federal Funds Financial Plan Amount,Federal Funds Adopted Budget Amount,Federal Funds Current Budget Amount,State  Funds Financial Plan Amount,State Funds Adopted Budget Amount,State Funds Current Budget Amount ,Inter-Fund Agreement Funds Financial Plan Amount,Inter-Fund Agreement Funds Adopted Budget Amount,Inter-Fund Agreement Funds Current Budget Amount ,Intra-City Sales Funds Financial Plan Amount,Intra-City Sales Funds Adopted Budget Amount,Intra-City Sales Funds Current Budget Amount ,Other Categorical Funds Financial Plan Amount,Other Categorical Funds Adopted Budget Amount,Other Categorical Funds Current Budget Amount ,Community Development Funds Financial Plan Amount ,Community Development Funds Adopted Budget Amount ,Community Development Funds Current Budget Amount ,City Funds Financial Plan Amount,City Funds Adopted Budget Amount,City Funds Current Budget Amount
20170124,2018,010,BOROUGH PRESIDENT - MANHATTAN,001,PERSONAL SERVICES,P,4092267,4055334,4060351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092267,4055334,4060351
20170124,2018,004,CAMPAIGN FINANCE BOARD,003,ELECTION FUNDING,O,1000000,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,1000000
20170124,2018,126,DEPARTMENT OF CULTURAL AFFAIRS,008,BROOKLYN MUSEUM,O,7707670,8138320,8199820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7707670,8138320,8199820
20170124,2018,487,BROOKLYN COMMUNITY BOARD #17,002,OTHER THAN PERSONAL SERVICES,O,13787,13787,13787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13787,13787,13787
20170124,2018,383,BRONX COMMUNITY BOARD #3,001,PERSONAL SERVICES,P,219285,219285,219285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219285,219285,219285
20170124,2018,826,DEPARTMENT OF ENVIRONMENTAL PROTECT.,002,ENVIRONMENTAL MANAGEMENT,P,19910544,27281797,32638531,123290,123290,3324121,0,0,130327,0,0,0,336447,335316,335316,0,0,0,2698172,9900786,11884444,16752635,16922405,16964323
20170124,2018,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,400,OFFICE OF CITYWIDE PURCHASING,P,11097784,10681259,10682474,0,0,0,0,0,0,0,0,0,1079300,1043406,1043406,0,0,0,0,0,0,10018484,9637853,9639068
20170124,2018,057,FIRE DEPARTMENT,010,EMERGENCY MEDICAL SERV-OTPS,O,32272583,31664206,31388216,0,0,0,301801,301801,301801,0,0,0,0,15000,0,4790801,4790801,4790801,0,0,0,27179981,26556604,26295614
20170124,2018,493,STATEN ISLAND COMMUNITY BOARD #3,002,OTHER THAN PERSONAL SERVICES,O,10513,10513,10513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10513,10513,10513
20170124,2018,069,DEPARTMENT OF SOCIAL SERVICES,105,ADULT SERVICES - OTPS,O,353895840,341899179,342308788,148270270,138677850,138777850,69225431,66810201,66827603,0,0,0,0,0,0,0,0,0,0,0,0,136400139,136411128,136703335
20170124,2018,037,NEW YORK PUBLIC LIBRARY,005,LUMP SUM-BORO OF STATEN ISL,O,10189096,10189096,10189096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10189096,10189096,10189096
20170124,2018,471,BROOKLYN COMMUNITY BOARD #1,001,PERSONAL SERVICES,P,223435,213435,218435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223435,213435,218435
20170124,2018,945,PUBLIC ADMINISTRATOR-RICHMOND COUNTY,002,OTHER THAN PERSONAL SERVICES,O,34338,37838,37838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34338,37838,37838
20170124,2018,478,BROOKLYN COMMUNITY BOARD #8,003,RENT AND ENERGY,O,70878,70878,70878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70878,70878,70878
20170124,2018,389,BRONX COMMUNITY BOARD #9,001,PERSONAL SERVICES,P,189657,189657,184657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189657,189657,184657
20170124,2018,032,DEPARTMENT OF INVESTIGATION,004,INSPECTOR GENERAL-OTPS,O,1207321,1974571,2145521,0,0,0,0,0,0,0,0,0,1193320,1960570,2131520,5000,5000,5000,0,0,0,9001,9001,9001
20170124,2018,011,BOROUGH PRESIDENT BRONX,002,OTHER THAN PERSONAL SERVICES,O,652041,1018641,1018641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652041,1018641,1018641
20170124,2018,040,DEPARTMENT OF EDUCATION,470,SE PRE-K CONTRACT PMTS - OTPS,O,841007946,854197732,854197732,0,0,0,731997355,731321533,731321533,0,0,0,0,0,0,317970,317970,317970,0,0,0,108692621,122558229,122558229
20170124,2018,444,QUEENS COMMUNITY BOARD #14,001,PERSONAL SERVICES,P,217321,217321,217321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217321,217321,217321
20170124,2018,829,BUSINESS INTEGRITY COMMISSION,002,OTHER THAN PERSONAL SERVICES,O,2434843,3139579,3547029,0,0,407450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2434843,3139579,3139579
20170124,2018,056,POLICE DEPARTMENT,009,HOUSING POLICE-PS,P,187740397,184281461,186197601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187740397,184281461,186197601
20170124,2018,438,QUEENS COMMUNITY BOARD #8,001,PERSONAL SERVICES,P,223883,223883,218155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223883,223883,218155
20170124,2018,313,OFFICE OF COLLECTIVE BARGAINING,002,OTHER THAN PERSONAL SERVICES,O,313393,436607,423500,0,0,0,0,0,0,0,0,0,0,0,0,22500,22500,22500,0,0,0,290893,414107,401000
20170124,2018,477,BROOKLYN COMMUNITY BOARD #7,001,PERSONAL SERVICES,P,231712,231712,223023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231712,231712,223023
20170124,2018,846,DEPARTMENT OF PARKS AND RECREATION,009,RECREATION SERVICES-OTPS,O,1585906,1585906,1851073,0,0,35071,0,0,0,0,0,0,0,0,44625,0,0,185471,0,0,0,1585906,1585906,1585906
20170124,2018,836,DEPARTMENT OF FINANCE,009,CITY SHERIFF,P,20813589,20464136,19243648,0,0,0,0,0,0,0,0,0,4129606,4037965,4037965,0,0,0,0,0,0,16683983,16426171,15205683
20160615,2017,442,QUEENS COMMUNITY BOARD #12,003,RENT AND ENERGY,O,54225,51501,51483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54225,51501,51483
20170124,2018,002,MAYORALTY,260,OFF FOR PEOPLE WITH DISAB-PS,P,681457,653903,676303,0,0,0,0,0,0,130874,129819,129819,1128,1018,1018,4062,3668,3668,192921,187526,189326,352472,331872,352472
20170124,2018,827,DEPARTMENT OF SANITATION,104,BUILDING MANAGEMENT,P,24160239,24075602,24166602,0,0,0,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,24160239,24075602,24075602
20170124,2018,945,PUBLIC ADMINISTRATOR-RICHMOND COUNTY,001,PERSONAL SERVICES,P,483525,475981,475981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483525,475981,475981
20170124,2018,841,DEPARTMENT OF TRANSPORTATION,013,OTPS-TRANSIT OPERATIONS,O,30004142,29639555,37731688,768000,768000,7461120,3105900,3105900,3420900,0,0,0,400000,400000,400000,0,0,84013,0,0,0,25730242,25365655,26365655
20170124,2018,102,CITY COUNCIL,607,COMMITTEE ON COMMUNITY DEVELOPMENT,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
20170124,2018,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,103,FAMILY & CHILD HLTH AND HLTH EQUITY - PS,P,112879349,109274353,118946034,7477614,7379359,8595835,45437317,46216556,46374994,0,0,0,66877,63197,7665792,0,0,0,0,0,0,59897541,55615241,56309413
20170124,2018,012,BOROUGH PRESIDENT - BROOKLYN,001,PERSONAL SERVICES,P,5211834,5129928,5248443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5211834,5129928,5248443
20170124,2018,126,DEPARTMENT OF CULTURAL AFFAIRS,024,N.Y.SHAKESPEARE FESTIVAL,O,1067797,1107409,1157409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067797,1107409,1157409
20170124,2018,99C,CITYWIDE SAVINGS INITIATIVES,002,Citywide Savings - OTPS,O,-16700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16700000,0,0
20170124,2018,069,DEPARTMENT OF SOCIAL SERVICES,203,PUBLIC ASSISTANCE,P,309344942,332964343,321803704,147261001,153982349,154151234,20608788,21224347,21308324,0,0,0,0,0,0,0,0,0,0,0,0,141475153,157757647,146344146
20170124,2018,260,DEPARTMENT OF YOUTH & COMMUNITY DEV,311,PROGRAM SERVICES - PS,P,24877218,22862577,23519695,5709968,5709968,5235165,477610,477610,477610,0,0,0,7268628,6432888,7289461,0,0,0,77197,75756,75756,11343815,10166355,10441703
20170124,2018,040,DEPARTMENT OF EDUCATION,421,CW SE INSTR & SCHL LEADERSHIP - PS,P,1034351682,1006906463,1006906463,5000000,5000000,5000000,75435229,100046893,100046893,0,0,0,0,0,0,0,0,0,0,0,0,953916453,901859570,901859570
20170124,2018,438,QUEENS COMMUNITY BOARD #8,003,RENT,O,73777,73777,73777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73777,73777,73777
20170124,2018,069,DEPARTMENT OF SOCIAL SERVICES,205,ADULT SERVICES,P,122720558,121640548,121640548,52335414,52512952,52512952,23948919,23367953,23367953,0,0,0,0,0,0,0,0,0,0,0,0,46436225,45759643,45759643
20170124,2018,099,DEBT SERVICE,002,TEMPORARY DEBT W/I CONST LIMIT,O,0,74623611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74623611,0
20170124,2018,801,DEPARTMENT OF SMALL BUSINESS SERVICES,011,WORKFORCE INVESTMENT ACT - OTPS,O,40551501,54408918,53039144,27568440,27568440,27945120,0,0,0,0,0,0,5120000,5120000,5120000,0,0,0,0,870216,1092383,7863061,20850262,18881641
20170124,2018,434,QUEENS COMMUNITY BOARD #4,003,RENT AND ENERGY,O,43784,43784,43784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43784,43784,43784
20170124,2018,906,OFFICE OF PROSECUTION SPEC NARCO,001,PERSONAL SERVICES,P,21294166,21062416,21062416,0,0,0,1127000,1127000,1127000,0,0,0,0,0,0,0,0,0,0,0,0,20167166,19935416,19935416
20170124,2018,126,DEPARTMENT OF CULTURAL AFFAIRS,017,WAVE HILL,O,1203452,1335178,1335178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203452,1335178,1335178
20160615,2017,826,DEPARTMENT OF ENVIRONMENTAL PROTECT.,001,EXECUTIVE AND SUPPORT,P,35208856,32552287,33509223,0,0,0,0,0,0,4326342,4175704,4224703,0,0,0,0,0,51136,0,0,0,30882514,28376583,29233384
20160615,2017,819,HEALTH AND HOSPITALS CORP,001,LUMP SUM,O,344045788,377999729,1325831379,0,0,19271570,420000,0,420000,0,0,0,52703512,52953121,108705324,0,0,0,0,0,0,290922276,325046608,1197434485
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,122,CHEMICAL DEPENDENCY AND HEALTH PROMOTION,O,88804893,76009945,82561923,12331687,11537107,12331687,42041135,36896514,42515085,0,0,0,0,0,0,0,0,0,0,0,0,34432071,27576324,27715151
20160615,2017,472,BROOKLYN COMMUNITY BOARD #2,001,PERSONAL SERVICES,P,226055,222039,220819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226055,222039,220819
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,121,DEVELOPMENT DISABILITY - OTPS,O,16216504,13037746,12137953,15227,0,0,5231146,6048088,5215919,0,0,0,0,0,0,0,0,0,0,0,0,10970131,6989658,6922034
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,120,MENTAL HEALTH,O,239474763,216072450,245738858,18379938,18691982,18534567,182133094,171278152,196679959,0,0,0,0,0,2201567,0,0,0,0,0,0,38961731,26102316,28322765
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,119,EPIDEMIOLOGY - OTPS,O,5486444,5943841,8771419,2052459,2824946,4556930,867033,637633,1028767,0,0,0,0,0,145865,300000,300000,354464,0,0,0,2266952,2181262,2685393
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,118,MENTAL HYGIENE MANAGEMENT SERVICES- OTPS,O,47849820,10900252,17399658,0,0,0,3244398,3144984,3654690,0,0,0,0,0,0,0,0,0,0,0,0,44605422,7755268,13744968
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,117,PREVENTION & PRIMARY CARE - OTPS,O,54435068,73472698,74289318,1273501,992256,4073436,14666295,19359393,18691637,0,0,0,0,0,2343,0,0,351741,0,0,0,38495272,53121049,51170161
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,116,OFFICE OF CHIEF MEDICAL EXAMINER - OTPS,O,16464826,15418823,23063888,0,0,5813502,0,0,449159,0,0,0,0,0,0,0,0,14151,0,0,0,16464826,15418823,16787076
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,115,EARLY INTERVENTION - OTPS,O,201242311,202350739,238208865,5323020,10119298,10473546,103199825,108392831,143882218,0,0,0,0,0,0,0,0,0,0,0,0,92719466,83838610,83853101
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,114,ENVIRONMENTAL HEALTH - OTPS,O,42170771,33268788,34063577,920584,939805,1524471,3795749,1800366,2125443,0,0,0,2019697,1980000,2120138,0,1582,906720,0,0,0,35434741,28547035,27386805
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,113,FAMILY & CHILD HLTH AND HLTH EQUITY-OTPS,O,59127153,41712000,55324184,2631876,2779914,5395330,16477879,12080953,23479535,0,0,0,0,0,2325176,18409,0,200402,0,0,0,39998989,26851133,23923741
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,112,DISEASE CONTROL - OTPS,O,204830022,178369674,221548820,147822838,144483457,173873968,14514847,8016373,20433013,0,0,0,30300,30300,30300,100000,100000,219546,0,0,0,42362037,25739544,26991993
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,111,HEALTH ADMINISTRATION - OTPS,O,102947847,88222902,109810545,2843647,3490001,6684724,30615149,18621593,21784258,0,0,0,110000,110000,6031101,0,0,72828,0,0,0,69379051,66001308,75237634
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,109,EPIDEMIOLOGY - PS,P,15496648,13566417,14621684,3628581,3497352,3718900,1607457,1188674,1246271,0,0,0,0,0,0,0,0,56512,0,0,0,10260610,8880391,9600001
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,108,MENTAL HYGIENE MANAGEMENT SERVICES - PS,P,38147684,32556722,33241744,8805519,8805519,8805519,13765165,13509802,14521802,0,0,0,0,0,0,0,0,0,0,0,0,15577000,10241401,9914423
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,107,PREVENTION & PRIMARY CARE - PS,P,13496582,12242303,14895937,1032324,816924,2675108,4324657,2576529,3958353,0,0,0,0,0,358814,0,0,21572,0,0,0,8139601,8848850,7882090
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,106,OFFICE OF CHIEF MEDICAL EXAMINER - PS,P,52456842,48949920,52926412,0,0,3837196,0,0,966373,0,0,0,0,0,0,0,0,0,0,0,0,52456842,48949920,48122843
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,105,EARLY INTERVENTION - PS,P,16363196,15309609,15844955,8489399,8489399,8489399,6210446,6210446,6210446,0,0,0,0,0,0,0,0,0,0,0,0,1663351,609764,1145110
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,104,ENVIRONMENTAL HEALTH - PS,P,63833611,57807414,56802270,9565314,9573393,10810734,9521861,7887487,7785336,0,0,0,450524,2585,759848,96026,96026,96026,0,0,0,44199886,40247923,37350326
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,103,FAMILY & CHILD HLTH AND HLTH EQUITY - PS,P,109274353,93875176,89378667,7379359,7463589,8149526,46216556,36377812,64398441,0,0,0,63197,42400,4235893,0,0,0,0,0,0,55615241,49991375,12594807
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,102,DISEASE CONTROL - PS,P,86952510,83974782,88183689,55782050,53447782,61406785,17178000,13999016,14057685,0,0,0,0,0,0,745493,745493,415491,0,0,0,13246967,15782491,12303728
20160615,2017,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,101,HEALTH ADMINISTRATION - PS,P,49211393,37186205,42530508,219983,217654,4643924,18982603,12814653,12918752,0,0,0,23000,23818,178000,0,0,139671,0,0,0,29985807,24130080,24650161
20160615,2017,810,DEPARTMENT OF BUILDINGS,002,OTHER THAN PERSONAL SERVICES,O,45235471,43438687,37504542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45235471,43438687,37504542
20160615,2017,810,DEPARTMENT OF BUILDINGS,001,PERSONAL SERVICES,P,126836881,110980545,97383835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126836881,110980545,97383835
20160615,2017,806,HOUSING PRESERVATION AND DEVELOPMENT,011,OFFICE OF HOUSING PRESERVATION,O,80975314,66688952,81811456,735862,735862,5061172,1075000,1075000,1075000,0,0,0,0,0,542900,1000000,1000000,1000000,55439339,45300518,51102500,22725113,18577572,23029884
20160615,2017,806,HOUSING PRESERVATION AND DEVELOPMENT,010,HOUSING MANAGEMENT AND SALES,O,9651260,14833479,14568779,0,0,0,0,0,0,0,0,0,0,0,0,70474,70474,1651624,6162523,11354769,10231174,3418263,3408236,2685981
20160615,2017,806,HOUSING PRESERVATION AND DEVELOPMENT,009,OFFICE OF DEVELOPMENT OTPS,O,1003227723,508936784,787488753,469269618,323430065,480039817,1340650,0,19506515,0,0,0,0,0,0,0,0,22628568,436693946,170422262,250613900,95923509,15084457,14699953
20160615,2017,806,HOUSING PRESERVATION AND DEVELOPMENT,008,OFFICE OF ADMINISTRATION OTPS,O,9404480,8979802,11402841,0,0,0,0,0,71288,0,0,0,258608,258608,1780608,0,0,0,522980,634209,528542,8622892,8086985,9022403
20160615,2017,806,HOUSING PRESERVATION AND DEVELOPMENT,006,HOUSING MAINTENANCE AND SALES,P,34331704,33072234,34085228,12400184,12400184,13000184,0,0,0,10006473,9759853,9759853,1451478,1422385,1422385,230563,134440,477316,5758521,5650082,5518924,4484485,3705290,3906566
20160615,2017,806,HOUSING PRESERVATION AND DEVELOPMENT,004,OFFICE OF HOUSING PRESERVATION,P,62918891,62916902,60845641,1380203,1408532,1498526,0,0,0,134474,67128,74128,294207,291900,1341055,0,0,0,48414864,47237012,46849656,12695143,13912330,11082276
20160615,2017,485,BROOKLYN COMMUNITY BOARD #15,002,OTHER THAN PERSONAL SERVICES,O,46186,46186,53186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46186,46186,53186
20160615,2017,806,HOUSING PRESERVATION AND DEVELOPMENT,002,OFFICE OF DEVELOPMENT,P,32941807,26485710,29394943,5471156,5479315,5479315,0,0,0,10617944,5148698,5894421,0,0,0,409606,409606,409606,4790300,4490937,6981812,11652801,10957154,10629789
20160615,2017,806,HOUSING PRESERVATION AND DEVELOPMENT,001,OFFICE OF ADMINISTRATION,P,38497007,31078898,34920991,2630012,2630012,2630012,0,0,0,2597132,2544736,2544736,62484,62484,62484,0,0,0,6074305,5347130,7585739,27133074,20494536,22098020
20160615,2017,801,DEPARTMENT OF SMALL BUSINESS SERVICES,012,TRUST FOR GOVERNOR'S ISLAND AND NYC & CO,O,39256447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39256447,0,0
20160615,2017,801,DEPARTMENT OF SMALL BUSINESS SERVICES,011,WORKFORCE INVESTMENT ACT - OTPS,O,54408918,52385074,63156149,27568440,27568440,36726395,0,0,0,0,0,0,5120000,5120000,6095000,0,0,0,870216,1403500,1904620,20850262,18293134,18430134
20160615,2017,801,DEPARTMENT OF SMALL BUSINESS SERVICES,010,WORKFORCE INVESTMENT ACT - PS,P,6077683,5614366,5430227,3792871,3370047,3370047,0,0,0,0,0,0,0,0,0,0,0,0,77449,82334,73000,2207363,2161985,1987180
20160615,2017,801,DEPARTMENT OF SMALL BUSINESS SERVICES,006,ECONOMIC DEVELOPMENT CORP.,O,64916671,127087808,147215814,942907,942907,12650540,28000,125000,2205354,0,0,0,10733295,731262,13870285,0,0,0,33712471,104324300,99746255,19499998,20964339,18743380
20160615,2017,801,DEPARTMENT OF SMALL BUSINESS SERVICES,005,CONTRACT COMP & BUS OPP - OTPS,O,4318370,4303370,2423370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4318370,4303370,2423370
20160615,2017,801,DEPARTMENT OF SMALL BUSINESS SERVICES,004,CONTRACT COMP & BUS. OPP - PS,P,2640499,2616069,2625397,198143,198143,198143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2442356,2417926,2427254
20160615,2017,801,DEPARTMENT OF SMALL BUSINESS SERVICES,002,DEPT. OF BUSINESS O.T.P.S.,O,48434114,54901858,118529792,3683556,1682895,4514969,0,0,74992,0,0,0,0,0,0,0,0,0,3003018,2090972,31280568,41747540,51127991,82659263
20160615,2017,801,DEPARTMENT OF SMALL BUSINESS SERVICES,001,DEPT. OF BUSINESS P.S.,P,16313810,15114707,14790093,5068987,5126550,5213686,0,0,0,0,0,0,9855,9855,9855,0,55819,0,1437514,1207891,1635042,9797454,8714592,7931510
20160615,2017,781,DEPARTMENT OF PROBATION,004,EXECUTIVE MANAGEMENT - OTPS,O,125553,125553,125553,0,0,0,59743,59743,59743,0,0,0,0,0,0,0,0,0,0,0,0,65810,65810,65810
20160615,2017,781,DEPARTMENT OF PROBATION,003,PROBATION SERVICES-OTPS,O,29363649,25701587,28780051,314009,132,215638,1702303,1702303,1702303,0,0,0,3406842,3406842,7575411,0,0,0,0,0,0,23940495,20592310,19286699
20160615,2017,781,DEPARTMENT OF PROBATION,002,PROBATION SERVICES,P,61845846,61310480,60468580,44016,14600,102357,12842786,12842786,12932712,0,0,0,2921958,2795970,6217770,0,0,0,0,0,0,46037086,45657124,41215741
20160615,2017,781,DEPARTMENT OF PROBATION,001,EXECUTIVE MANAGEMENT,P,9329039,8392552,8694847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9329039,8392552,8694847
20160615,2017,493,STATEN ISLAND COMMUNITY BOARD #3,003,RENT AND ENERGY,O,112751,112970,108405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112751,112970,108405
20160615,2017,493,STATEN ISLAND COMMUNITY BOARD #3,002,OTHER THAN PERSONAL SERVICES,O,10513,10513,28412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10513,10513,28412
20160615,2017,493,STATEN ISLAND COMMUNITY BOARD #3,001,PERSONAL SERVICES,P,223398,219382,205499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223398,219382,205499
20160615,2017,492,STATEN ISLAND COMMUNITY BOARD #2,003,RENT,O,45002,45002,45002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45002,45002,45002
20160615,2017,492,STATEN ISLAND COMMUNITY BOARD #2,002,OTHER THAN PERSONAL SERVICES,O,24626,47055,20061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24626,47055,20061
20160615,2017,492,STATEN ISLAND COMMUNITY BOARD #2,001,PERSONAL SERVICES,P,211289,182840,213850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211289,182840,213850
20160615,2017,491,STATEN ISLAND COMMUNITY BOARD #1,003,RENT,O,59968,58976,58976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59968,58976,58976
20160615,2017,491,STATEN ISLAND COMMUNITY BOARD #1,002,OTHER THAN PERSONAL SERVICES,O,13212,13212,23743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13212,13212,23743
20160615,2017,491,STATEN ISLAND COMMUNITY BOARD #1,001,PERSONAL SERVICES,P,220699,216683,210168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220699,216683,210168
20160615,2017,488,BROOKLYN COMMUNITY BOARD #18,003,RENT,O,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
20160615,2017,488,BROOKLYN COMMUNITY BOARD #18,002,OTHER THAN PERSONAL SERVICES,O,20611,40390,26155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20611,40390,26155
20160615,2017,488,BROOKLYN COMMUNITY BOARD #18,001,PERSONAL SERVICES,P,213300,189505,207756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213300,189505,207756
20160615,2017,487,BROOKLYN COMMUNITY BOARD #17,003,RENT AND ENERGY,O,75805,83842,89890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75805,83842,89890
20160615,2017,487,BROOKLYN COMMUNITY BOARD #17,002,OTHER THAN PERSONAL SERVICES,O,13787,13787,25237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13787,13787,25237
20160615,2017,487,BROOKLYN COMMUNITY BOARD #17,001,PERSONAL SERVICES,P,220124,216108,208674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220124,216108,208674
20160615,2017,486,BROOKLYN COMMUNITY BOARD #16,003,RENT,O,35336,63289,63289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35336,63289,63289
20160615,2017,486,BROOKLYN COMMUNITY BOARD #16,002,OTHER THAN PERSONAL SERVICES,O,26022,3022,26022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26022,3022,26022
20160615,2017,486,BROOKLYN COMMUNITY BOARD #16,001,PERSONAL SERVICES,P,207889,226873,207889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207889,226873,207889
20160615,2017,485,BROOKLYN COMMUNITY BOARD #15,001,PERSONAL SERVICES,P,187725,183709,180725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187725,183709,180725
20160615,2017,484,BROOKLYN COMMUNITY BOARD #14,002,OTHER THAN PERSONAL SERVICES,O,4622,4622,13205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4622,4622,13205
20160615,2017,484,BROOKLYN COMMUNITY BOARD #14,001,PERSONAL SERVICES,P,229289,225273,220706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229289,225273,220706
20160615,2017,483,BROOKLYN COMMUNITY BOARD #13,003,RENT,O,61379,60750,60747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61379,60750,60747
